backend,model,no,sektor,kl,sub_indikator,gold,pred,benar,status,confidence,summary_pred,source_url_pred,url_dari_search,n_search,latency_s,in_tok,out_tok,queries,error,summary_gold
tavily,watsonx-qwen3-30b-a3b-instruct-2507,1,Kesehatan,KEMENTERIAN KESEHATAN,KP 02.12.08 - Kabupaten/kota yang mendeklarasikan 5 Pilar STBM,True,False,False,OK,tinggi,"Tidak ditemukan publikasi resmi dari Kemenkes, Bappenas, BPS, atau portal pemerintah lain yang menunjukkan pelaksanaan deklarasi 5 Pilar STBM oleh 30 kabupaten/kota pada tahun 2025. Hasil pencarian hanya menunjukkan informasi umum tentang STBM, video edukasi, atau data dari tahun sebelumnya. Tidak ada laporan kinerja, LAKIP, atau siaran pers resmi yang menyebutkan capaian indikator tersebut di tahun 2025.",,False,4,0.38,5241,355,STBM 5 pilar deklarasi kabupaten kota 2025 Kemenkes [site:kemenkes.go.id] | LAKIP Kemenkes 2025 STBM 5 pilar [site:kemenkes.go.id] | program sanitasi total 2025 Kemenkes deklarasi 5 pilar [site:bappenas.go.id] | BPS data sanitasi desa 2025 STBM 5 pilar [site:bps.go.id],,"Program berjalan, ditandai dengan penetapan alokasi anggaran daerah untuk survei verifikasi 5 pilar dan deklarasi level provinsi/kabupaten/kota."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,2,Pertahanan,KEMENTERIAN LUAR NEGERI,KP 02.09.03 - Persentase kebijakan di bidang kerja sama pembangunan internasional Indonesia yang telah sesuai dengan prioritas nasional,True,True,True,OK,tinggi,"Kementerian Luar Negeri telah melaksanakan kebijakan sinkronisasi kerja sama pembangunan internasional dengan prioritas nasional pada tahun 2025, ditandai dengan penetapan arah kebijakan dalam Rencana Strategis Kemenlu 2025-2029 dan pelaksanaan koordinasi dengan mitra pembangunan melalui Bappenas, yang menunjukkan implementasi kebijakan sesuai prioritas nasional.",https://kemlu.go.id/files/repositori/83699/1769764168697c75482003c_RENSTRA_Ditjen_HEKSP_TA_2025_2029.pdf,True,4,18.32,14069,461,Kementerian Luar Negeri 2025 kerja sama pembangunan internasional prioritas nasional sinkronisasi kebijakan [site:kemlu.go.id] | Kementerian Luar Negeri 2025 persentase kebijakan kerja sama pembangunan internasional sesuai prioritas nasional realisasi [site:kemlu.go.id] | Renstra Kemenlu 2025-2029 persentase kebijakan kerja sama pembangunan internasional sesuai prioritas nasional [site:bappenas.go.id] | Kemenlu 2025 sinkronisasi kebijakan kerja sama pembangunan internasional dengan prioritas nasional realisasi [site:bappenas.go.id],,"Program berjalan, ditandai dengan pelaksanaan sejumlah aktivitas konkret kerja sama pembangunan internasional oleh Kemlu sepanjang Tahun 2025, seperti pertemuan bilateral dan kesepakatan kerja sama dengan negara mitra di kawasan Pasifik, penyaluran bantuan pangan dan kemanusiaan ke Palestina yang diumumkan langsung oleh Menlu/Wamenlu, serta penyusunan kebijakan turunan (Grand Design dan aturan hibah) yang diselaraskan dengan RPJMN 2025-2029. Aktivitas ini tercatat lewat rilis resmi Kemlu maupun Sekretariat Negara, meskipun angka persentase realisasi kebijakan sesuai prioritas nasional untuk Tahun 2025 belum dipublikasikan secara spesifik."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,3,Industri,KEMENTERIAN LUAR NEGERI,"KP 02.09.04 - Persentase keberhasilan promosi, pembentukan norma, dan kesepakatan diplomasi ekonomi terutama pada sektor prioritas",True,False,False,OK,tinggi,"Tidak ditemukan publikasi resmi dari Kementerian Luar Negeri, Bappenas, Setkab, atau sumber resmi lain yang secara eksplisit menyatakan realisasi indikator KP 02.09.04 tahun 2025. Meskipun terdapat dokumen Bappenas dan siaran pers Setkab yang menyebutkan aktivitas diplomasi ekonomi dan kerja sama bilateral, tidak ada data atau pernyataan resmi yang menyebutkan capaian persentase keberhasilan promosi, pembentukan norma, atau kesepakatan diplomasi ekonomi pada sektor prioritas dengan target 80% untuk tahun 2025.",,False,4,21.25,5923,455,Kementerian Luar Negeri 2025 laporan kinerja promosi ekonomi diplomasi ekonomi sektor prioritas [site:kemlu.go.id] | LAKIP Kementerian Luar Negeri 2025 persentase keberhasilan diplomasi ekonomi sektor prioritas [site:kemlu.go.id] | Kementerian Luar Negeri 2025 hasil kesepakatan diplomasi ekonomi promosi sektor prioritas [site:bappenas.go.id] | Kemenlu 2025 realisasi indikator KP 02.09.04 persentase keberhasilan promosi norma kesepakatan diplomasi ekonomi [site:setkab.go.id],,"Program berjalan, ditandai dengan penetapan oleh Kemenlu melalui Ditjen Hubungan Ekonomi dan Kerja Sama Pembangunan (HEKSP) terkait indikator ini sebagai indikator kinerja utama dan melaporkan capaiannya dalam Laporan Kinerja Tahun 2025. Realisasi tercatat 93,75 persen terhadap target 80 persen, dengan capaian 117,19 persen, berasal dari 7 norma dan 4 kesepakatan yang terealisasi dari target 8 norma dan 4 kesepakatan. Pelaksanaannya didukung partisipasi Indonesia pada berbagai forum seperti Sidang UNIDO ke-21, KTM UNCTAD ke-16, WTO CTE, WIPO SCCR-47, dan Codex Alimentarius sepanjang 2025."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,4,Sosial,KEMENTERIAN LUAR NEGERI,KP 07.16.02 - Indeks Diplomasi Perlindungan WNI di Luar Negeri,True,False,False,OK,tinggi,"Tidak ditemukan publikasi resmi dari Kemenlu, Bappenas, Setkab, atau portal pemerintah lain yang menyatakan hasil akhir atau pelaksanaan Indeks Diplomasi Perlindungan WNI di Luar Negeri tahun 2025. Meskipun ada referensi tentang kebijakan dan program perlindungan WNI, tidak ada data atau indikator kinerja yang menunjukkan pencapaian target 98.7 pada tahun 2025.",,False,4,20.97,13241,361,Indeks Diplomasi Perlindungan WNI di Luar Negeri 2025 Kemenlu [site:kemlu.go.id] | LAKIP Kemenlu 2025 Indeks Diplomasi Perlindungan WNI [site:kemlu.go.id] | Indeks Diplomasi Perlindungan WNI di Luar Negeri 2025 hasil akhir Kemenlu [site:bappenas.go.id] | Kemenlu 2025 Indeks Diplomasi Perlindungan WNI hasil akhir publikasi resmi [site:setkab.go.id],,"Program berjalan, ditandai dengan terlaksananya ketiga jalur pembentuk indeks ini sepanjang Tahun 2025 sesuai Manual Indikator Kinerja Dit. PWNI 2025, yaitu diplomasi di forum internasional, pembentukan kebijakan nasional, dan kampanye penyadaran publik. Di jalur internasional, ASEAN mengadopsi Deklarasi tentang Pemberantasan Kejahatan Siber dan Penipuan Daring pada September 2025, yang disambut Indonesia dalam pertemuan Dewan Masyarakat Politik-Keamanan ASEAN pada rangkaian KTT ASEAN ke-47 di Kuala Lumpur, 26-28 Oktober 2025. Di jalur operasional, Pemerintah memulangkan 554 WNI korban TPPO penipuan daring dari Myawaddy, Myanmar, dalam dua tahap pada 18 dan 19 Maret 2025, dengan pengawalan Tim Pelindungan WNI Kemlu bersama KBRI Bangkok dan Yangon serta Hubinter Polri, dan secara agregat 27.768 WNI dipulangkan dari berbagai situasi krisis sepanjang 2025. Di jalur kebijakan nasional, terbit Kepmenlu Nomor 15 Tahun 2025 tentang Penetapan Perwakilan Pelindungan Terpadu serta Perjanjian Kerja Sama Kemlu dengan BPJS Ketenagakerjaan pada 22 Januari 2025. Layanan Kampanye Penyadaran Publik Dit. PWNI juga terdaftar aktif dengan standar pelayanan resmi di SIPPN Kementerian PANRB."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,5,Pertahanan,KEMENTERIAN PERTAHANAN,KP 02.01.01 - Persentase pemenuhan alutsista,True,False,False,OK,tinggi,"Tidak ditemukan publikasi resmi dari Kementerian Pertahanan, Bappenas, atau portal pemerintah lain yang menunjukkan realisasi pemenuhan alutsista pada tahun 2025. Beberapa dokumen yang ditemukan berisi rencana, anggaran, atau laporan dari tahun sebelumnya, tetapi tidak ada data aktual atau laporan kinerja 2025 yang menyebutkan capaian indikator persentase pemenuhan alutsista. Tidak ada bukti pelaksanaan kegiatan yang terpublikasi secara resmi untuk tahun 2025.",,False,4,20.27,5774,382,pemenuhan alutsista Kementerian Pertahanan 2025 laporan kinerja [site:kemhan.go.id] | modernisasi senjata TNI 2025 realisasi laporan kinerja [site:kemhan.go.id] | persentase pemenuhan alutsista 2025 Kemenhan hasil evaluasi [site:bappenas.go.id] | LAKIP Kementerian Pertahanan 2025 pemenuhan alutsista realisasi [site:kemhan.go.id],,"Program berjalan, ditandai dengan pelaksanaan sejumlah kegiatan modernisasi dan pemenuhan alutsista oleh Kemhan bersama TNI sepanjang Tahun 2025, seperti uji coba alutsista produksi dalam negeri, kelanjutan program alih teknologi untuk pengadaan kapal selam bersama mitra asing, hingga penambahan alutsista baru untuk memperkuat matra udara, yang dipublikasikan lewat rilis resmi di laman kemhan.go.id."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,6,Pangan,BADAN KARANTINA INDONESIA,KP 02.10.13 - Persentase wilayah terkendali dari Hama Penyakit Hewan Karantina (HPHK),True,False,False,OK,tinggi,"Tidak ditemukan publikasi resmi dari Badan Karantina Indonesia atau sumber resmi lainnya yang menunjukkan pelaksanaan kegiatan atau realisasi indikator persentase wilayah terkendali dari Hama Penyakit Hewan Karantina (HPHK) pada tahun 2025. Tidak ada laporan kinerja, siaran pers, atau dokumen resmi dari K/L pengampu, Bappenas, atau portal pemerintah yang menyebutkan capaian indikator tersebut.",,False,4,15.98,5585,374,BADAN KARANTINA INDONESIA LAKIP 2025 persentase wilayah terkendali HPHK [site:kementan.go.id] | Laporan Kinerja Badan Karantina Indonesia tahun 2025 persentase wilayah terkendali HPHK [site:kemenperin.go.id] | Badan Karantina Indonesia realisasi indikator HPHK 2025 [site:bappenas.go.id] | Siaran pers Badan Karantina Indonesia 2025 kontrol hama penyakit hewan karantina [site:kementan.go.id],,"Program berjalan, ditandai dengan terlaksananya kegiatan pemantauan daerah sebar HPHK sepanjang Tahun 2025 oleh unit pelaksana teknis Badan Karantina Indonesia di berbagai wilayah, yang dituntaskan melalui seminar hasil pemantauan tingkat regional dan nasional bersama dinas peternakan provinsi/kabupaten-kota, akademisi, dan pemangku kepentingan terkait (misalnya di Sumatera Barat dan regional Sulawesi). Pelaksanaan ini juga terkonfirmasi dari dokumen anggaran (RKA/DIPA) yang memuat komponen persiapan, pelaksanaan, dan seminar pemantauan daerah sebar HPHK, serta dari Laporan Kinerja Tahun 2025 UPT Barantin yang dipublikasikan di laman resmi dan PPID Barantin, yang memuat indikator temuan dan tindak lanjut HPHK. Angka nasional persentase wilayah terkendali dari HPHK Tahun 2025 sendiri belum ditemukan dipublikasikan."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,7,Infrastruktur,KEMENTERIAN PEKERJAAN UMUM,PP 02.12 - Efisiensi pemanfaatan air irigasi,True,False,False,OK,tinggi,"Tidak ditemukan publikasi resmi dari Kementerian Pekerjaan Umum, Bappenas, BPS, atau sumber resmi lain yang menunjukkan pelaksanaan atau realisasi indikator efisiensi pemanfaatan air irigasi (PP 02.12) pada tahun 2025. Tidak ada laporan kinerja, data realisasi, atau siaran pers yang menyebutkan capaian indikator tersebut.",,False,4,16.02,4281,361,efisiensi pemanfaatan air irigasi 2025 Kementerian Pekerjaan Umum [site:kemenpu.go.id] | LAKIP 2025 Kementerian Pekerjaan Umum efisiensi air irigasi [site:kemenpu.go.id] | realisasi efisiensi pemanfaatan air irigasi 2025 BPS [site:bps.go.id] | PP 02.12 efisiensi pemanfaatan air irigasi 2025 Bappenas e-Monev [site:emonev.bappenas.go.id],,"Program berjalan, ditandai dengan terealisasinya pembangunan dan rehabilitasi jaringan irigasi oleh Kementerian PU sepanjang Tahun Anggaran 2025 dengan luas 589.605,80 hektare, serta terkonfirmasinya pelaksanaan pekerjaan fisik rehabilitasi jaringan irigasi di daerah melalui publikasi resmi Kementerian PU sepanjang 2025 (misalnya rehabilitasi tahap II DI Tingal di Temanggung yang progres fisiknya mencapai 60% per akhir September 2025). Target angka indikator sendiri, yaitu 0,34 USD/m³, memang tercantum sebagai sasaran kerja Kementerian PU tahun 2025 di bidang sumber daya air. Angka realisasi efisiensi pemanfaatan air irigasi tahun 2025 dalam satuan USD/m³ belum dipublikasikan, karena Laporan Kinerja Ditjen SDA terbaru yang terbit masih edisi Tahun 2024."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,11,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.17 - Produksi vanili,False,False,True,OK,tinggi,"Tidak ditemukan publikasi resmi dari Kementerian Pertanian, BPS, atau sumber resmi lain yang menyatakan realisasi produksi vanili sebesar 1582 ton pada tahun 2025. Beberapa hasil pencarian menunjukkan data produksi vanili di tingkat kabupaten (misalnya Manggarai) namun tidak mencantumkan angka nasional atau target tahun 2025. Tidak ada laporan kinerja tahunan 2025 dari Kementerian Pertanian yang menyebutkan capaian indikator ini.",,False,4,19.18,9779,362,produksi vanili 2025 Kementerian Pertanian laporan kinerja [site:kementan.go.id] | vanili produksi 2025 hasil tani Kementerian Pertanian [site:kemenkeu.go.id] | produksi vanili Indonesia 2025 hasil tani BPS [site:bps.go.id] | vanili produksi 2025 Kementerian Pertanian realisasi laporan tahunan [site:lakip.kemenan.go.id],,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi vanili berjalan pada Tahun 2025. Realisasi kegiatan pengembangan kawasan tanaman semusim dan rempah Direktorat Jenderal Perkebunan Tahun 2025 diarahkan ke pala, kakao, dan tebu, tanpa vanili. Kegiatan pemerintah bertanggal 2025 yang menyinggung vanili hanya ditemukan pada balai perlindungan perkebunan tingkat provinsi, berupa pelatihan agens pengendali hayati yang sasarannya komoditas lain, sehingga tidak dapat dihitung sebagai intervensi terhadap indikator ini. Angka realisasi produksi vanili Tahun 2025 juga belum dipublikasikan."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,12,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.18 - Persentase produksi komoditas pertanian organik terhadap produksi total komoditas pertanian,False,False,True,OK,tinggi,"Tidak ditemukan publikasi resmi dari Kementerian Pertanian, Bappenas, BPS, atau portal pemerintah lain yang menyatakan pelaksanaan atau pencapaian indikator produksi komoditas pertanian organik terhadap total produksi pertanian pada tahun 2025. Tidak ada laporan kinerja, statistik resmi, atau siaran pers yang mengonfirmasi kegiatan ini berjalan di tahun 2025. Data terkait produksi organik tidak tersedia dalam publikasi BPS untuk tahun 2025.",,False,4,19.88,14456,365,produksi komoditas pertanian organik persentase 2025 Kementerian Pertanian [site:kementan.go.id] | LAKIP Kementerian Pertanian 2025 produksi pertanian organik [site:kementan.go.id] | Kementerian Pertanian 2025 laporan kinerja produksi organik komoditas pertanian [site:bappenas.go.id] | BPS produksi pertanian organik 2025 data resmi [site:bps.go.id],,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi komoditas pertanian organik berjalan pada Tahun 2025. Kegiatan yang ditemukan masih pada tahap penyiapan kebijakan, yaitu diskusi kelompok terarah oleh Badan Perakitan dan Modernisasi Pertanian Kementerian Pertanian pada November 2025, yang justru menyimpulkan perlunya pembentukan Otoritas Kompeten Pangan Organik, reorientasi kebijakan, dan revisi peraturan menteri agar selaras dengan SNI 6729:2025 dan RPJMN 2025-2029. Angka persentase produksi pertanian organik Tahun 2025 belum dipublikasikan."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,44,Sosial,KEMENTERIAN SOSIAL,KP 06.03.02 - Jumlah penerima manfaat Kartu Usaha Afirmatif yang berusaha atau bekerja sebagai buruh/karyawan,False,False,True,OK,tinggi,"Tidak ditemukan publikasi resmi dari Kementerian Sosial, Bappenas, Setkab, atau portal pemerintah lain yang menyatakan pelaksanaan atau realisasi program Kartu Usaha Afirmatif dengan jumlah penerima manfaat 1.000.000 jiwa pada tahun 2025. Hasil pencarian hanya menunjukkan dokumen perencanaan (RPJMN, LAKIP, RKP) yang menyebutkan indikator dan target, tetapi tidak ada bukti pelaksanaan aktual tahun 2025.",,False,4,19.33,15802,394,Kartu Usaha Afirmatif penerima manfaat 2025 Kementerian Sosial [site:kemensos.go.id] | LAKIP Kementerian Sosial 2025 Kartu Usaha Afirmatif penerima manfaat [site:kemensos.go.id] | Kartu Usaha Afirmatif Kementerian Sosial 2025 realisasi penerima manfaat [site:bappenas.go.id] | Kartu Usaha Afirmatif realisasi 2025 Kementerian Sosial penerima manfaat [site:setkab.go.id],,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti pelaksanaan pada 2025. Saat ini, masih berlangsungnya tahap perencanaan dan penyiapan implementasi hingga awal 2026. Rapat Tingkat Menteri yang dipimpin Menko Pemberdayaan Masyarakat pada 26 September 2025 masih membahas perencanaan Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif sebagai bagian dari Program Hasil Terbaik Cepat, dengan Kemensos menegaskan basis data DTSEN dan Kementerian Koperasi dan UMKM menyiapkan platform SAPA UMKM. Pada 12 Februari 2026, BPKP masih melakukan kajian dan koordinasi lintas perangkat daerah untuk mendukung kesiapan implementasi Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif di daerah. Kartu Usaha Afirmatif juga baru ditetapkan sebagai salah satu Proyek Strategis Nasional baru dalam RKP 2026. Tidak ditemukan publikasi resmi yang menunjukkan adanya penerima manfaat KUA pada 2025, sehingga target 1.000.000 jiwa tahun 2025 belum terverifikasi terlaksana."
